name,unit_weight,calories,protein,carbohydrates,sugar,fiber,fat,saturated_fat,gluten_free,lactose_free,pescetarian,vegetarian,vegan,contains_meat,contains_vegetables,contains_fish_shellfish_canned_preserved,cereal,pasta_or_rice,dairy_yogurt_cheese,fruit,nuts,legume,sauce_or_condiment,deli_meat,bread_or_toast,egg,special_drink_or_supplement,tuber,other
Pechuga de pollo,100,130.0,19.6,0.0,0.0,0.0,5.6,1.8,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Filete de pavo,100,112.0,25.0,0.0,0.0,0.0,1.3,0.5,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lomo de cerdo,100,152.0,18.0,0.0,0.0,0.0,8.9,3.3,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ternera,100,124.0,23.0,0.0,0.0,0.0,3.5,1.5,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Conejo,100,109.0,20.8,0.0,0.0,0.0,2.1,0.8,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Perdiz,100,106,23,0,0,0,1.6,0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Contramuslo de pollo (sin piel),100,127.0,19.0,1.6,0.0,0.0,4.9,1.9,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alitas de pollo,100,120.0,20.5,0.5,0.5,0.0,4.0,1.3,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburguesa de pollo (tipo Meatprotein),1,124.0,21.6,2.9,0.8,0.0,2.7,0.8,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburguesa de ternera (tipo Meatprotein),1,122.0,22.2,2.1,0.0,0.0,2.7,0.8,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"CarpaccioTernera (hacendado, sin salsa)",1,160.0,22.6,1.8,0.45,0.0,6.9,4.45,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chuletas de cordero (pierna),100,386.0,14.7,0.0,0.0,0.0,36.3,20,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Higado de pollo,100,114.0,19.0,0.7,0.6,0.0,3.9,1.6,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Higado de ternera ,100,133.0,21.0,1.9,1.7,0.0,4.5,1.7,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mollejas,100,80.0,15.4,0.5,0.5,0.0,2.0,0.8,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alitas de pollo,100,155.0,19.0,0.6,0.0,0.0,8.5,2.7,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bacon,100,393.0,13.0,2.0,1.5,0.0,37.0,13,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tomate seco,100,225.0,9.1,39.8,22.2,8.2,1.3,0.1,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pescado azul a elegir,100,224.0,20.0,0.0,0.0,0.0,16.0,3,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Pescado blanco a elegir,100,83.0,18.0,0.0,0.0,0.0,1.2,0.3,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sepia / Calamar / Pulpo,100,78.0,18.0,0.0,0.0,0.0,0.5,0.2,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Gambas (ya peladas),100,94.0,20.0,0.5,0.0,0.0,1.0,0.3,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mejillon al natural (lata),1,70.0,10.2,1.8,0.0,0.0,2.34,1.1,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mejillon en escabeche (lata),1,142.0,18.0,3.2,0.0,0.0,6.4,0,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Berberechos (lata),1,59.0,10.4,0.7,0.0,0.0,0.6,0,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Atun en lata al natural,1,64.0,14.4,0.4,0.0,0.0,0.56,0.16,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Caballa en conserva con tomate,1,78.0,14.4,0.5,0.0,0.0,2.0,0.4,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sardinas en conserva con tomate,1,178.0,16.2,0.18,0.18,0.0,12.5,2.83,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Almejones (en lats),1,87.0,13.7,1.89,0.0,0.0,2.7,0.63,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Boqueron en vinagre (escurrido),1,61.0,11.4,0.6,0.0,0.0,1.26,0.96,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anchoa en AOVE (escurrido),1,68.0,7.41,0.0,0.0,0.0,3.76,0.6,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Merluza en lata,1,75.0,12.6,0.5,0.0,0.0,2.5,0.7,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Corn flakes,100,378.0,6.3,84.0,5.0,15.0,1.1,0.4,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Copos de espelta,100,364.0,14.6,66.0,1.9,8.8,2.7,0.2,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Harina de avena (sabores),100,381.0,11.3,62.5,0.3,11.8,6.9,0.7,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Copos de avena,100,375.0,14.0,59.0,0.7,10.0,7.0,1.3,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Miel pops,100,357.0,5.6,80.0,30.0,0.0,1.2,0.3,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Smacks,100,388.0,9.1,79.0,50.0,5.6,2.7,0.5,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Muesli con frutos secos,100,458.0,8.0,63.0,22.0,6.0,18.0,2,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Muesli crujiente,100,444.0,7.0,69.0,22.0,5.6,14.0,1.4,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Arroz inflado con chocolate,100,395.0,5.5,85.0,32.0,2.5,2.5,1.3,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Arroz inflado,100,387.0,7.0,87.0,7.9,2.0,1.2,0.4,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Crema de arroz,100,388.0,8.0,85.0,0.5,0.0,1.0,0.2,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Papilla multicereales,100,379.0,12.0,75.0,1.0,0.0,2.2,0.4,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Crereales crujeintes de avena,100,390.0,13.0,66.0,4.6,11.0,5.8,1,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Cherios (nestle),100,380.0,7.0,79.2,20.0,4.7,3.3,1,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Miel nut corn flakes (hacendado),100,409.0,8.5,81.0,25.0,2.3,5.1,0.9,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Galleta marbu centeno (artiach),100,441.0,6.2,61.0,18.0,14.0,16.0,1.5,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Arroz basmati,100,355.0,9.0,78.0,0.5,0.0,0.6,0.2,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Arroz blanco,100,344.0,8.2,75.0,0.5,0.0,1.0,0.2,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Noodles de arroz,100,343.0,6.4,77.0,2.0,0.0,0.6,0.2,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Semola de arroz,100,346.0,8.4,77.0,0.5,0.0,0.5,0.2,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Spaguetti integral,100,343.0,13.0,65.0,4.3,7.0,1.0,0.6,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Fideo integrales,100,349.0,13.0,65.0,4.0,7.0,2.6,0.4,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Estrellitas,100,358.0,14.0,72.0,3.5,4.0,1.5,0.3,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Tiburones,100,357.0,11.0,72.0,3.5,4.0,1.5,0.3,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Hélices vegetales,100,358.0,12.0,72.0,3.0,4.0,1.5,0.3,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Helices de lenteja,100,334.0,26.0,50.0,1.2,7.6,1.7,0.4,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Pasta de garbanzo,100,370.0,21.0,52.0,3.1,0.0,6.5,0.9,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Pasta de guisante,100,354.0,18.0,60.0,3.4,9.3,2.6,0.4,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Cous cous,100,346.0,12.0,69.0,2.5,3.9,1.6,0.8,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Taboule Oriental (ya cocinado),100,185.0,4.7,25.0,4.3,4.7,6.8,0.8,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Vasito de arroz basmati,1,230.0,5.1,43.8,0.0,1.1,3.6,0.3,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Vasito de arroz blanco,1,209.0,5.0,43.0,1.3,2.4,1.3,0,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
